Category,Context,Tags,Date Added,Is Secret,Export Signature
Relationships,This user values authenticity but acknowledges that it can sometimes lead to stepping on toes.,"authenticity, communication, interpersonal skills","6/21/2025, 1:07:52 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user tends to apologize for their part in conflicts to repair or maintain relationships.,"conflict resolution, apologies, relationship maintenance","6/21/2025, 1:07:34 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user has learned the importance of balancing honesty with sensitivity and making space for others in interactions.,"emotional intelligence, personal growth, balance","6/21/2025, 1:07:28 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds comfort in movies and video games as distractions when feeling anxious.,"anxiety coping, entertainment, personal habits","6/21/2025, 12:48:55 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user gravitates towards fantasy themes in movies and video games during anxious times.,"fantasy genre, coping mechanisms, personal preferences","6/21/2025, 12:47:16 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user experiences negative self-talk and is seeking ways to manage it.,"self-talk, self-compassion, coping mechanisms","6/19/2025, 9:36:53 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user has not yet found strategies that effectively make them feel more comfortable socially or personally.,"coping skills, personal growth, social comfort","6/19/2025, 9:36:28 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user approaches challenging emotional situations by helping others find hope and lessons, ensuring they feel supported.","emotional intelligence, support, coping strategies","6/19/2025, 4:08:54 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user relies on prayer as a way to cope with and manage their emotions and well-being while assisting others.,"spirituality, emotional management, self-care","6/19/2025, 4:08:45 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user relies on prayer to find guidance and reassurance in their decisions by seeking a sense of correctness.,"guidance, spirituality, decision making","6/19/2025, 4:06:06 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user uses AI to help plan and explore new ideas, particularly focusing on career and relationships.","AI interaction, planning, career growth, relationships","6/19/2025, 4:06:00 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user feels happy and confident when prayer and AI advice align, but ultimately trusts their gut instinct when they diverge.","intuition, decision making, self trust, emotional response","6/19/2025, 4:05:53 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user sometimes feels embarrassed and worried after being vulnerable, fearing it may be used against them.","vulnerability, fear, emotions","6/19/2025, 4:04:26 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user copes with the risk of oversharing by accepting it and trying to be more mindful in the future.,"coping, strategies, self-awareness","6/19/2025, 4:04:13 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user has experienced positive outcomes from vulnerability, including forming stronger bonds and receiving mutual sharing and support.","positive experiences, bonding, support","6/19/2025, 4:04:05 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds that calling someone during distressful times helps them to articulate the facts rather than just focusing on emotions or personal theories.,"communication, emotional processing, support network","6/19/2025, 4:00:22 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user prefers environments that are beautiful, quiet, and secure as part of their self-care practice.","self-care, environment, personal preference","6/19/2025, 4:00:14 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user experiences both positive feelings of being seen and negative feelings of guilt when prioritizing their own needs over others'.,"emotions, self-prioritization, guilt","6/19/2025, 4:00:07 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user manages guilt from self-prioritization by trying to compensate for others and is working on better balancing personal needs with the needs of others.,"guilt management, self-improvement, empathy","6/19/2025, 3:59:50 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user finds that calling someone during distressful times helps them to articulate the facts rather than just focusing on emotions or personal theories.,"communication, emotional processing, support network","6/19/2025, 12:05:43 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user has a tendency to pace, ruminate, and engage in self-dialogue when upset, looking for ways to process their emotions.","coping mechanisms, emotional processing, stress management","6/19/2025, 12:05:36 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user does not perceive a change in handling future emotional situations after verbalizing their current feelings to others.,"emotional growth, introspection, communication","6/19/2025, 12:05:29 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user often tries to find alternative ways to assist others when they cannot provide direct help.,"problem-solving, support, solutions","6/19/2025, 12:03:23 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user experiences internal discomfort when they cannot meet the expectations of others.,"expectations, emotional response, discomfort","6/19/2025, 12:03:13 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user faces awkwardness in relationships after declining requests for help, and has not yet developed strategies to manage this tension.","relationship dynamics, challenges, personal growth","6/19/2025, 12:03:00 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user tends to respond with blame and shame when feeling rejected and hurt.,"emotions, behavior, response patterns","6/19/2025, 12:01:07 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user seeks ways to improve their communication and avoid cruelty during difficult interactions.,"communication, self-improvement, conflict management","6/19/2025, 12:01:02 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user struggles to identify strategies for managing emotions constructively in challenging conversations.,"emotional management, coping skills, communication","6/19/2025, 12:00:54 AM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user relies on their faith as a significant factor in their survival during times of deep despair.,"faith, survival, coping mechanisms","6/18/2025, 11:59:06 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user has not made significant changes in their life following a serious crisis but reflects on the role of prayer and unanswered requests.,"crisis management, introspection, unchanged habits","6/18/2025, 11:58:52 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user copes with feelings of being unloved or rejected by holding onto hope that they will be valued or find a sense of belonging in the future.,"hope, self-worth, belonging","6/18/2025, 11:58:41 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user experiences tension in their chest and throat when anxious and uses breathing and focusing on actionable steps to alleviate this tension.,"anxiety management, physical symptoms, stress relief","6/18/2025, 11:55:52 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user tends to focus on tasks that make a significant impact, as a means to cope with anxiety.","productivity, focus, anxiety coping mechanism","6/18/2025, 11:55:45 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user tends to select movies spontaneously, based on what catches their interest at the moment.","spontaneity, entertainment choices, movie watching","6/18/2025, 11:53:56 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user prefers to let their creativity guide them when working on products, rather than adhering to a strict routine.","creativity, work habits, personal projects","6/18/2025, 11:53:45 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user experienced anxiety and relied on personal faith and courage when facing uncertainty in relationships.,"anxiety, faith, courage","6/18/2025, 11:51:38 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user values reassurance and consistent communication to feel secure in their relationships.,"reassurance, communication, security","6/18/2025, 11:51:26 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user is dealing with the aftermath of a breakup, which may affect their perspective on trust and long-distance relationships.","breakup, trust, long-distance","6/18/2025, 11:51:19 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user processes negative feelings by reflecting internally or seeking support from friends.,"coping mechanisms, social support, emotional processing","6/18/2025, 11:44:38 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user prefers step-by-step guidance and clear, detailed explanations when learning or working on technical tasks.","learning style, technical tasks, detailed instructions","6/18/2025, 11:44:27 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user appreciates retro internet aesthetics, Studio Ghibli-style art, and nostalgic fantasy adventure visuals.","art aesthetics, retro design, fantasy, nostalgia","6/18/2025, 11:44:10 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Career,"This user prefers concise, engaging, and high-quality communication, particularly when crafting messages to potential business partners.","communication style, business writing, professionalism","6/18/2025, 11:43:55 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,"This user has a strained relationship with their mother, characterized by superficial interactions and emotional boundary challenges.","family dynamics, emotional boundaries, parental relationships","6/18/2025, 11:43:42 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Personal Health,This user has extreme near-sightedness and is notably taller compared to their family.,"vision, physical traits, height","6/18/2025, 11:43:25 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,"This user frequently engages in reflective conversations on philosophy, theology, and Jungian archetypes.","philosophy, theology, Jungian psychology, reflective thinking","6/18/2025, 11:43:13 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user is adaptable and can go with the flow when plans change unexpectedly.,"adaptability, flexibility, mindset","6/18/2025, 11:43:03 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user is resilient and feels a strong obligation to keep going despite challenges.,"resilience, determination, motivation","6/18/2025, 11:42:55 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Faith,This user relies on prayer as a strategy to maintain a positive mindset during setbacks.,"spirituality, mindset, coping strategies","6/18/2025, 11:42:42 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user immediately begins planning after setting a big personal goal.,"goal setting, planning, proactive","6/18/2025, 11:42:22 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
About Me,This user maintains motivation and happiness by directly engaging with tasks.,"motivation, happiness, task-oriented","6/18/2025, 11:42:12 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user relies on prayer and honesty as a foundation before addressing their needs directly.,"preparation, communication style, self-reflection","6/18/2025, 11:41:56 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b
Relationships,This user processes negative feelings by reflecting internally or seeking support from friends.,"coping mechanisms, social support, emotional processing","6/18/2025, 11:41:31 PM",No,0x0cf3381313043cd642857cfeb37f23a1b32f85ba57703c3710db4ca1a8e696835bc74b683486a88fbaa7d1834ac992ac980b63ebdc80a5a3bdf4ded0c00d28641b